Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9506578947368421,0.9393564356435643,0.94875,0.9440298507462687,0.9888757324218749,565.6102435588837,tcn_model_fine_tune_mb_pool,Twitter
2,0.9232456140350878,0.8707865168539326,0.96875,0.9171597633136095,0.9874816894531251,630.3872497081757,tcn_model_fine_tune_mb_pool,Twitter
3,0.9413377192982456,0.979253112033195,0.885,0.9297439264609324,0.985074462890625,570.1905856132507,tcn_model_fine_tune_mb_pool,Twitter
4,0.9550438596491229,0.940959409594096,0.9574468085106383,0.9491315136476427,0.9909270734759913,569.4495425224304,tcn_model_fine_tune_mb_pool,Twitter
5,0.9418540866703237,0.9325842696629213,0.934918648310388,0.93375,0.9868194618272841,695.3534061908722,tcn_model_fine_tune_mb_pool,Twitter
