Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.90625,0.8887515451174289,0.89875,0.8937228091982597,0.9692211914062501,70.6784257888794,tcn_model_sb_precompute_pool,Twitter
2,0.9024122807017544,0.9081364829396326,0.865,0.8860435339308579,0.9638952636718752,60.574819564819336,tcn_model_sb_precompute_pool,Twitter
3,0.8969298245614035,0.8963730569948186,0.865,0.8804071246819338,0.9635400390625001,48.17506504058838,tcn_model_sb_precompute_pool,Twitter
4,0.9216008771929824,0.9361702127659575,0.8811013767209012,0.9078014184397163,0.9738948075338074,60.92202401161194,tcn_model_sb_precompute_pool,Twitter
5,0.8952276467361492,0.8526682134570766,0.9198998748435544,0.885009030704395,0.9644660806476847,53.79706144332886,tcn_model_sb_precompute_pool,Twitter
