Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9429824561403509,0.9371859296482412,0.9325,0.9348370927318296,0.9871923828125,73.45587372779846,tcn_model_mb_precompute_seqOut,Twitter
2,0.9342105263157895,0.9038004750593824,0.95125,0.9269183922046285,0.9846154785156249,69.85357856750488,tcn_model_mb_precompute_seqOut,Twitter
3,0.9287280701754386,0.9219143576826196,0.915,0.918444165621079,0.980361328125,62.647915840148926,tcn_model_mb_precompute_seqOut,Twitter
4,0.9435307017543859,0.967741935483871,0.9011264080100125,0.933246921581335,0.988836655575567,73.70059132575989,tcn_model_mb_precompute_seqOut,Twitter
5,0.9232035106966539,0.9042944785276074,0.9224030037546934,0.9132589838909542,0.9814330901908636,62.3295373916626,tcn_model_mb_precompute_seqOut,Twitter
