Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9407894736842105,0.9303482587064676,0.935,0.9326683291770573,0.986025390625,262.00212478637695,tcn_model_fine_tune_sb_pool,Twitter
2,0.9380482456140351,0.9143546441495778,0.9475,0.9306322897483118,0.9823999023437501,242.76489329338074,tcn_model_fine_tune_sb_pool,Twitter
3,0.9369517543859649,0.9453836150845254,0.90875,0.9267049075844487,0.98157958984375,223.02850604057312,tcn_model_fine_tune_sb_pool,Twitter
4,0.9364035087719298,0.9723374827109267,0.8798498122653317,0.923784494086728,0.9857974907658964,223.95685529708862,tcn_model_fine_tune_sb_pool,Twitter
5,0.9171695008228196,0.8838862559241706,0.9336670838548186,0.9080949482653682,0.9797500782227785,243.57309484481812,tcn_model_fine_tune_sb_pool,Twitter
