Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9462719298245614,0.9398496240601504,0.9375,0.9386733416770964,0.987445068359375,56.461004972457886,tcn_model_mb_precompute_pool,Twitter
2,0.9369517543859649,0.9151515151515152,0.94375,0.9292307692307692,0.983258056640625,51.13657307624817,tcn_model_mb_precompute_pool,Twitter
3,0.9314692982456141,0.9255989911727617,0.9175,0.9215317011927181,0.9818920898437499,48.03025960922241,tcn_model_mb_precompute_pool,Twitter
4,0.9462719298245614,0.9546044098573282,0.9211514392991239,0.9375796178343949,0.9891065050825727,58.63214039802551,tcn_model_mb_precompute_pool,Twitter
5,0.9347229840921558,0.9197530864197531,0.932415519399249,0.9260410192666252,0.9841183315081351,59.486825704574585,tcn_model_mb_precompute_pool,Twitter
