Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9402412280701754,0.927070457354759,0.9375,0.9322560596643878,0.98501953125,230.1283118724823,tcn_model_fine_tune_sb_seqOut,Twitter
2,0.9347587719298246,0.9167686658506732,0.93625,0.9264069264069265,0.983345947265625,230.66471529006958,tcn_model_fine_tune_sb_seqOut,Twitter
3,0.9287280701754386,0.9146039603960396,0.92375,0.9191542288557214,0.9805114746093753,229.970294713974,tcn_model_fine_tune_sb_seqOut,Twitter
4,0.9407894736842105,0.927070457354759,0.9386733416770964,0.9328358208955224,0.9868720046399463,272.07650327682495,tcn_model_fine_tune_sb_seqOut,Twitter
5,0.9380142622051564,0.9466145833333334,0.9098873591989988,0.9278876834716018,0.9772481715425533,272.5678539276123,tcn_model_fine_tune_sb_seqOut,Twitter
