Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.924890350877193,0.927741935483871,0.89875,0.9130158730158731,0.980010986328125,74.10501527786255,tcn_model_sb_precompute_seqOut,Twitter
2,0.9161184210526315,0.9184993531694696,0.8875,0.9027336300063573,0.971287841796875,77.54431295394897,tcn_model_sb_precompute_seqOut,Twitter
3,0.9194078947368421,0.9159235668789809,0.89875,0.9072555205047319,0.973974609375,80.8795154094696,tcn_model_sb_precompute_seqOut,Twitter
4,0.9358552631578947,0.9522546419098143,0.8986232790988736,0.9246619446233098,0.98154583473244,84.07209920883179,tcn_model_sb_precompute_seqOut,Twitter
5,0.918266593527153,0.904228855721393,0.9098873591989988,0.9070492825951342,0.9774046170994994,80.61515235900879,tcn_model_sb_precompute_seqOut,Twitter
