Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9435307017543859,0.9286592865928659,0.94375,0.9361438313701178,0.9865246582031251,640.8712093830109,tcn_model_fine_tune_mb_seqOut,Twitter
2,0.9314692982456141,0.9032258064516129,0.945,0.9236408063530849,0.9875146484375001,770.1398384571075,tcn_model_fine_tune_mb_seqOut,Twitter
3,0.9221491228070176,0.9895833333333334,0.83125,0.9035326086956522,0.9825280761718751,580.4488871097565,tcn_model_fine_tune_mb_seqOut,Twitter
4,0.9270833333333334,0.9911504424778761,0.8410513141426783,0.909952606635071,0.9913031533319088,644.8666317462921,tcn_model_fine_tune_mb_seqOut,Twitter
5,0.9462424574876577,0.9557867360208062,0.9198998748435544,0.9375,0.9850032266896119,708.4342555999756,tcn_model_fine_tune_mb_seqOut,Twitter
