Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9457236842105263,0.952258064516129,0.9225,0.9371428571428572,0.9795050048828126,636.9108707904816,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,Twitter
2,0.9407894736842105,0.9292803970223326,0.93625,0.9327521793275217,0.9786859130859376,636.2725131511688,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,Twitter
3,0.9353070175438597,0.9486842105263158,0.90125,0.9243589743589744,0.97516845703125,636.865697145462,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,Twitter
4,0.9364035087719298,0.9221260815822002,0.9336670838548186,0.927860696517413,0.9837107359809518,636.9241247177124,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,Twitter
5,0.9363686231486561,0.9328263624841572,0.9211514392991239,0.9269521410579346,0.9716112425688361,636.013769865036,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,Twitter
