Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9468201754385965,0.9512195121951219,0.92625,0.9385687143761875,0.9843115234375,613.9518558979034,OP (base),Twitter
2,0.9287280701754386,0.9678770949720671,0.86625,0.9142480211081794,0.973311767578125,607.8545701503754,OP (base),Twitter
3,0.9259868421052632,0.9301423027166882,0.89875,0.9141767323585506,0.976630859375,613.2751607894897,OP (base),Twitter
4,0.950109649122807,0.9585492227979274,0.9261576971214017,0.9420751113940166,0.9873958301535455,610.3319699764252,OP (base),Twitter
5,0.9314317059791553,0.9309462915601023,0.9111389236545682,0.9209361163820367,0.9809930870619524,615.1336431503296,OP (base),Twitter
