Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.925904652498564,0.9660537482319661,0.866751269035533,0.9137123745819398,0.9789084430145785,105.89627838134766,NP (full bert output) Pre,Twitter
2,0.903503733486502,0.9492753623188406,0.8312182741116751,0.8863328822733424,0.9678739593375981,105.67263579368591,NP (full bert output) Pre,Twitter
3,0.8983342906375646,0.9580209895052474,0.8109137055837563,0.8783505154639175,0.9634336665938713,105.3330626487732,NP (full bert output) Pre,Twitter
4,0.9023549684089603,0.9571005917159763,0.8210659898477157,0.8838797814207651,0.9704526448671309,105.82382035255432,NP (full bert output) Pre,Twitter
5,0.8879310344827587,0.9596899224806201,0.7855329949238579,0.8639218422889045,0.9643097086550356,105.81234693527222,NP (full bert output) Pre,Twitter
