Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9358552631578947,0.9306431273644389,0.9225,0.9265536723163842,0.9824145507812501,601.7764823436737,NPSN (base),Twitter
2,0.8887061403508771,0.9869494290375204,0.75625,0.8563340410474168,0.9692230224609375,604.9454257488251,NPSN (base),Twitter
3,0.9067982456140351,0.8629032258064516,0.93625,0.8980815347721822,0.9766357421875,601.4037737846375,NPSN (base),Twitter
4,0.9336622807017544,0.9195544554455446,0.9299123904881101,0.9247044181705041,0.9836478524985499,599.4168872833252,NPSN (base),Twitter
5,0.9281404278661547,0.9113300492610837,0.9261576971214017,0.9186840471756673,0.9768472798028786,598.9218170642853,NPSN (base),Twitter
