Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9095394736842105,0.8944099378881988,0.9,0.897196261682243,0.973028564453125,110.65514039993286,NPSN (full bert output) Pre,Twitter
2,0.9172149122807017,0.9427012278308322,0.86375,0.9015003261578604,0.9697454833984377,110.39703869819641,NPSN (full bert output) Pre,Twitter
3,0.8974780701754386,0.9147496617050067,0.845,0.8784925276153346,0.9659814453124999,110.36998748779297,NPSN (full bert output) Pre,Twitter
4,0.9210526315789473,0.9078455790784558,0.9123904881101377,0.9101123595505618,0.9727305473305047,110.42532706260681,NPSN (full bert output) Pre,Twitter
5,0.9029072956664839,0.8907035175879398,0.8873591989987485,0.8890282131661442,0.9645528590425532,110.34279322624207,NPSN (full bert output) Pre,Twitter
