Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9210526315789473,0.9659090909090909,0.85,0.9042553191489362,0.978670654296875,107.67587327957153,OP (full bert output) Pre,Twitter
2,0.9139254385964912,0.9338731443994602,0.865,0.8981181051265412,0.96871826171875,107.4969413280487,OP (full bert output) Pre,Twitter
3,0.9161184210526315,0.9152759948652118,0.89125,0.9031032298923369,0.97318603515625,107.8765037059784,OP (full bert output) Pre,Twitter
4,0.9342105263157895,0.940337224383917,0.9073842302878599,0.9235668789808917,0.9774809975884491,107.56790065765381,OP (full bert output) Pre,Twitter
5,0.9133296763576523,0.8951911220715166,0.9086357947434293,0.901863354037267,0.9730278081977473,107.43718218803406,OP (full bert output) Pre,Twitter
