Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9468201754385965,0.9500640204865557,0.9275,0.9386464263124604,0.9807336425781249,622.3494958877563,NPSN (full bert output),Twitter
2,0.9314692982456141,0.928843710292249,0.91375,0.9212350346565847,0.9805804443359375,628.5367705821991,NPSN (full bert output),Twitter
3,0.924890350877193,0.9212198221092758,0.90625,0.9136735979836169,0.9757470703125,625.9162092208862,NPSN (full bert output),Twitter
4,0.9391447368421053,0.9444444444444444,0.9148936170212766,0.9294342021614749,0.9842400561677707,626.0377225875854,NPSN (full bert output),Twitter
5,0.9155238617663193,0.8862275449101796,0.9261576971214017,0.9057527539779682,0.9762043863423029,629.0017197132111,NPSN (full bert output),Twitter
