Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9407894736842105,0.9613333333333334,0.90125,0.9303225806451613,0.983563232421875,633.4953064918518,OP (full bert output),Twitter
2,0.9353070175438597,0.9498680738786279,0.9,0.9242618741976893,0.9780175781250001,637.2907919883728,OP (full bert output),Twitter
3,0.9314692982456141,0.9434954007884363,0.8975,0.9199231262011531,0.9765155029296874,636.290876865387,OP (full bert output),Twitter
4,0.9429824561403509,0.9530638852672751,0.9148936170212766,0.933588761174968,0.9853811166397021,633.8005414009094,OP (full bert output),Twitter
5,0.931980252331322,0.9377431906614786,0.904881101376721,0.9210191082802548,0.9775060622653317,636.5477619171143,OP (full bert output),Twitter
